SCRIP CODE,SCRIP ID,SCRIP NAME
,PRANIK,Pranik Logistics Limited
,PARAMOUNT,Paramount Dye Tec Limited
,SAJHOTELS,Saj Hotels Limited
,HVAX,HVAX Technologies Limited
,DIVYADHAN,Divyadhan Recycling Industries Limited
,SAHASRA,Sahasra Electronic Solutions Limited
,FORGEAUTO,Forge Auto International Limited
,THESL,Thinking Hats Entertainment Solutions Limited
,TECHERA,TechEra Engineering (India) Limited
,UNILEX,Unilex Colours and Chemicals Limited
,WOL3D,Wol 3D India Limited
,RAPPID,Rappid Valves (India) Limited
,BIKEWO,Bikewo Green Tech Limited
,AVIANSH,Avi Ansh Textile Limited
,PHOGLOBAL,Phoenix Overseas Limited
,SDREAMS,S D Retail Limited
,KALANA,Kalana Ispat Limited
,PSFL,Paramount Speciality Forgings Limited
,OSELDEVICE,Osel Devices Limited
,PELATRO,Pelatro Limited
,DECCANTRAN,Deccan Transcon Leasing Limited
,ENVIRO,Envirotech Systems Limited
,EXCELLENT,Excellent Wires and Packaging Limited
,INNOMET,Innomet Advanced Materials Limited
,SPPPOLY,SPP Polymer Limited
,AUSL,Aditya Ultra Steel Limited
,SHUBHSHREE,Shubhshree Biofuels Energy Limited
,GAJANAND,Gajanand International Limited
,VIESL,Vision Infra Equipment Solutions Limited
,MYMUDRA,My Mudra Fincorp Limited
,NAMOEWASTE,Namo eWaste Management Limited
,JEYYAM,Jeyyam Global Foods Limited
,BOSS,Boss Packaging Solutions Limited
,PARAMATRIX,Paramatrix Technologies Limited
,AERON,Aeron Composite Limited
,JAYBEE,Jay Bee Laminations Limited
,VDEAL,Vdeal System Limited
,IPHL,Indian Phosphate Limited
,QVCEL,QVC Exports Limited
,IDEALTECHO,Ideal Technoplast Industries Limited
,BRACEPORT,Brace Port Logistics Limited
,FORCAS,Forcas Studio Limited
,BALCO,Solve Plastic Products Limited
,POSITRON,Positron Energy Limited
,SUNLITE,Sunlite Recycling Industries Limited
,AESTHETIK,Aesthetik Engineers Limited
,PPSL,Picturepost Studios Limited
,DHARIWAL,Dhariwalcorp Limited
,UTSSAV,Utssav CZ Gold Jewels Limited
,ASHALOG,Ashapura Logistics Limited
,RAJINDLTD,Rajputana Industries Limited
,SSEGL,Sathlokhar Synergys E&C Global Limited
,BULKCORP,Bulkcorp International Limited
,ESPRIT,Esprit Stones Limited
,SATECH,S A Tech Software India Limited
,TROM,Trom Industries Limited
,APRAMEYA,Aprameya Engineering Limited
,CHETANA,Chetana Education Limited
,MIEL,Manglam Infra & Engineering Limited
,VLINFRA,V.L.Infraprojects Limited
,RNFI,RNFI Services Limited
,MACOBSTECH,Macobs Technologies Limited
,KATARIA,Kataria Industries Limited
,TUNWAL,Tunwal E-Motors Limited
,SATIPOLY,Sati Poly Plast Limited
,PRIZOR,Prizor Viztech Limited
,SAHAJSOLAR,Sahaj Solar Limited
,EFFWA,Effwa Infra & Research Limited
,GGBL,Ganesh Green Bharat Limited
,AMBEY,Ambey Laboratories Limited
,NEPHROCARE,Nephro Care India Limited
,DTL,Diensten Tech Limited
,DPEL,Divine Power Energy Limited
,AKIKO,Akiko Global Services Limited
,PCCL,Petro Carbon and Chemicals Limited
,SPCL,Shivalic Power Control Limited
,VISAMAN,Visaman Global Sales Limited
,SYLVANPLY,Sylvan Plyboard (India) Limited
,MASON,Mason Infratech Limited
,MEDIORG,Medicamen Organics Limited
,WINNY,Winny Immigration & Education Services Limited
,DURLAX,Durlax Top Surface Limited
,FALCONTECH,Falcon Technoprojects India Limited
,GPECO,GP Eco Solutions India Limited
,TBI,TBI Corn Limited
,AIMTRON,Aimtron Electronics Limited
,ZTECH,Z-Tech (India) Limited
,BEACON,Beacon Trusteeship Limited
,VILAS,Vilas Transcore Limited
,GSMFOILS,GSM Foils Limited
,RULKA,Rulka Electricals Limited
,HOACFOODS,Hoac Foods India Limited
,QUESTLAB,Quest Laboratories Limited
,IEML,Indian Emulsifiers Limited
,ABSMARINE,ABS Marine Services Limited
,VERITAAS,Veritaas Advertising Limited
,MANDEEP,Mandeep Auto Industries Limited
,PRLIND,Premier Roadlines Limited
,EMMIL,Energy Mission Machineries (India) Limited
,SILKFLEX,Silkflex Polymers (India) Limited
,WINSOL,Winsol Engineers Limited
,REFRACTORY,Refractory Shapes Limited
,SLONE,Slone Infosystems Limited
,BIRDYS,Grill Splendour Services Limited
,RBS,Ramdevbaba Solvent Limited
,DCG,DCG Cables & Wires Limited
,TGL,Teerth Gopicon Limited
,DRSCARGO,DRS Cargo Movers Limited
,CGRAPHICS,Creative Graphics Solutions India Limited
,ALUWIND,ALUWIND INFRA-TECH LIMITED
,K2INFRA,K2 Infragen Limited
,YASHOPTICS,Yash Optics & Lens Limited
,RADIOWALLA,Radiowalla Network Limited
,TAC,TAC Infosec Limited
,TRUST,Trust Fintech Limited
,BLUEPEBBLE,Blue Pebble Limited
,ASPIRE,Aspire & Innovative Advertising Limited
,NAMAN,Naman Industries Proxima Limited
,VISHWAS,Vishwas Agri Seeds Limited
,ENSER,Enser Communications Limited
,ENFUSE,Enfuse Solutions Limited
,AVPINFRA,AVP Infracon Limited
,SIGNORIA,Signoria Creation Limited
,PRATHAM,Pratham EPC Projects Limited
,SHREEKARNI,Shree Karni Fabcom Limited
,SONAMAC,Sona Machinery Limited
,VR,V R Infraspace Limited
