Security Code,Security Id,Security Name,Status,Group
500110,CHENNPETRO,Chennai Petroleum Corporation Ltd,Active,A 
500111,RELCAPITAL,Reliance Capital Ltd,Delisted,T 
500112,SBIN,State Bank of India,Active,A 
500113,SAIL,Steel Authority of India Ltd,Active,A 
500114,TITAN,Titan Company Ltd,Active,A 
500115,MSTRP,MSTRP,Delisted,Z 
500116,IDBI,IDBI Bank Ltd,Active,A 
500117,DCW,DCW Ltd,Active,B 
500119,DHAMPURSUG,Dhampur Sugar Mills Ltd,Active,B 
500120,DIAMINESQ,Diamines & Chemicals Ltd-$,Active,B 
500121,DIGITAL,Digital GlobalSoft Ltd,Delisted,B 
500122,AMBUJACEMR,Ambuja Cement Rajasthan Ltd,Delisted,Z 
500123,ELANTAS,Elantas Beck India Ltd-$,Active,B 
500124,DRREDDY,Dr Reddys Laboratories Ltd,Active,A 
500125,EIDPARRY,EID Parry India Ltd,Active,A 
500126,PGHL,Procter & Gamble Health Ltd,Active,A 
500127,ESTMNAL,Eastern Mining & Allied Industries Ltd,Delisted,P 
500128,ELECTCAST,Electrosteel Castings Ltd,Active,A 
500129,ELAUPAR-BDM,Elgi Auto Parts Ltd,Delisted,Z 
500130,ELGIF,Elgi Finance Ltd,Delisted,T 
500131,ELGITR,Elgitread (India) Ltd,Delisted,B 
500132,EMPEESUG,Empee Sugars & Chemicals Ltd,Suspended,Z 
500133,ESABINDIA,Esab India Ltd,Active,A 
500134,ESSAROIL,Essar Oil Ltd,Delisted,A 
500135,EPL,EPL Ltd,Active,A 
500136,ESTER,Ester Industries Ltd,Active,B 
500138,UNIWORTHT,Uniworth Textiles Ltd,Delisted,XT
500139,FEDDERELEC,Fedders Electric and Engineering Ltd,Suspended,Z 
500140,FEMNORM-B,Femnor Mineral (India) Ltd,Delisted,Z 
500141,FERROALL,Ferro Alloys Corporation Ltd,Delisted,X 
500142,FGP,FGP Ltd,Active,X 
500143,PHCAP,PH Capital Ltd,Active,XT
500144,FINCABLES,Finolex Cables Ltd,Active,A 
500145,FIRSTLEASE,First Leasing Company of India Ltd,Delisted,Z 
500147,COCKERILL,John Cockerill India Ltd-$,Active,B 
500148,UFLEX,Uflex Ltd,Active,B 
500149,FLOAI,Floatglass India Ltd,Delisted,B 
500150,FOSECOIND,Foseco India Ltd,Active,B 
500151,GOLDENTOBC,Golden Tobacco Ltd,Active,Z 
500152,GRMAG,GR Magnets Ltd,Delisted,Z 
500153,GANESHBE,Ganesh Benzoplast Ltd,Active,B 
500154,FOSCL,Futuristic Offshore Services & Chemical Ltd,Suspended,XT
500155,GARDENSILK,Garden Silk Mills Ltd,Delisted,B 
500156,GRMNR,German Remedies Ltd,Delisted,B 
500157,GICBALN-B,GICBALN-B,Delisted,Z 
500158,GICBGVL-B,GICBGVL-B,Delisted,Z 
500159,METROGLOBL,Metroglobal Ltd,Active,X 
500160,GTL,GTL Ltd,Active,B 
500161,GTB,Global Trust Bank Ltd,Delisted,T 
500162,PARRYSUGAR,Parrys Sugar Industries Ltd,Delisted,B 
500163,GODFRYPHLP,Godfrey Phillips India Ltd,Active,A 
500164,GODREJIND,Godrej Industries Ltd,Active,A 
500165,KANSAINER,Kansai Nerolac Paints Ltd,Active,A 
500166,GOODRICKE,Goodricke Group Ltd,Active,X 
500167,GOVMC,Good Value Marketing Company Ltd,Delisted,Z 
500168,GOODYEAR,Goodyear India Ltd,Active,B 
500169,GRPCOMI,Grapco Mining & Company Ltd,Delisted,Z 
500170,GTNINDS,GTN Industries Ltd,Active,X 
500171,GHCL,GHCL Ltd,Active,A 
500173,GFLLIMITED,GFL Ltd,Active,B 
500174,GLFL,Gujarat Lease Financing Ltd,Active,T 
500175,GTCL,Gujarat Telephone Cables Ltd,Delisted,B 
500176,HAMCMIN-B,HAMCO Mining & Smelting Ltd,Delisted,Z 
500177,HANILERA,Hanil Era Textiles Ltd,Delisted,T 
500178,HARCR,Harig Crankshafts Ltd,Active,XT
500179,HCL-INSYS,HCL Infosystems Ltd,Active,B 
500180,HDFCBANK,HDFC Bank Ltd,Active,A 
500181,HRBTSON-B,Herbertsons Ltd,Delisted,B 
500182,HEROMOTOCO,Hero MotoCorp Ltd,Active,A 
500183,HFCL,HFCL Ltd,Active,A 
500184,HSCL,Himadri Speciality Chemical Ltd,Active,A 
500185,HCC,Hindustan Construction Company Ltd,Active,A 
500186,HINDOILEXP,Hindustan Oil Exploration Company Ltd,Active,B 
500187,AGI,Agi Greenpac Ltd,Active,A 
